timestamp,open,high,low,close
2026-01-26 09:30:00,6923.23,6929.43,6921.60,6924.18
2026-01-26 09:31:00,6923.48,6935.06,6923.48,6934.60
2026-01-26 09:32:00,6934.50,6934.90,6931.31,6932.43
2026-01-26 09:33:00,6932.36,6935.71,6929.93,6935.28
2026-01-26 09:34:00,6934.98,6936.87,6934.44,6935.89
2026-01-26 09:35:00,6935.97,6940.46,6935.97,6940.46
2026-01-26 09:36:00,6940.85,6943.16,6939.89,6942.85
2026-01-26 09:37:00,6942.89,6942.89,6940.27,6942.26
2026-01-26 09:38:00,6942.32,6943.81,6940.91,6941.90
2026-01-26 09:39:00,6942.45,6942.45,6940.26,6941.65
2026-01-26 09:40:00,6941.48,6942.97,6938.99,6942.97
2026-01-26 09:41:00,6942.66,6946.56,6942.66,6945.50
2026-01-26 09:42:00,6945.61,6945.61,6940.31,6943.62
2026-01-26 09:43:00,6943.46,6945.45,6943.46,6945.31
2026-01-26 09:44:00,6945.34,6946.54,6944.30,6945.50
2026-01-26 09:45:00,6945.42,6947.90,6945.42,6947.17
2026-01-26 09:46:00,6947.46,6948.99,6947.29,6948.99
2026-01-26 09:47:00,6948.89,6948.99,6945.56,6947.24
2026-01-26 09:48:00,6947.25,6947.71,6946.13,6947.63
2026-01-26 09:49:00,6947.56,6947.94,6945.38,6945.38
2026-01-26 09:50:00,6945.70,6947.11,6945.19,6945.78
2026-01-26 09:51:00,6945.80,6947.26,6944.94,6947.10
2026-01-26 09:52:00,6947.07,6948.86,6946.85,6948.86
2026-01-26 09:53:00,6948.88,6949.90,6947.20,6949.90
2026-01-26 09:54:00,6950.02,6950.02,6947.48,6947.75
2026-01-26 09:55:00,6947.77,6948.86,6946.91,6947.39
2026-01-26 09:56:00,6947.39,6949.41,6946.92,6948.61
2026-01-26 09:57:00,6948.51,6949.78,6948.30,6949.43
2026-01-26 09:58:00,6949.48,6949.71,6946.37,6946.57
2026-01-26 09:59:00,6946.84,6947.73,6945.16,6945.86
2026-01-26 10:00:00,6945.28,6945.92,6944.62,6944.85
2026-01-26 10:01:00,6944.75,6945.57,6943.37,6943.55
2026-01-26 10:02:00,6943.21,6946.86,6943.21,6946.64
2026-01-26 10:03:00,6946.57,6946.70,6944.11,6944.45
2026-01-26 10:04:00,6944.25,6946.06,6944.14,6945.82
2026-01-26 10:05:00,6945.71,6946.38,6945.06,6945.14
