timestamp,open,high,low,close,volume
2026-01-26,251.48,256.56,249.8,255.41,55806112
2026-01-27,259.17,261.95,258.21,258.27,49525581
2026-01-28,257.65,258.855,254.51,256.44,40251854
2026-01-29,258,259.65,254.41,258.28,65940661
2026-01-30,255.165,261.8999,252.18,259.48,92329938
2026-02-02,260.03,270.49,259.205,270.01,73771842
2026-02-03,269.2,271.875,267.61,269.48,64786763
2026-02-04,272.285,278.95,272.285,276.49,90379561
2026-02-05,278.13,279.5,273.23,275.91,52644476
2026-02-06,277.12,280.905,276.925,278.12,50359945
2026-02-09,277.905,278.2,271.7,274.62,44530917
