Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-June-2022,32.30,32.70,32.10,32.30,32.365986848735261513,158768,1614,5138683.00,64550,40.66,0.60,0.00
6-June-2022,32.60,32.60,32.00,32.35,32.276943608583795523,197069,1997,6360785.00,69814,35.43,0.60,-0.25
3-June-2022,33.45,33.60,32.50,32.60,33.003021704052764260,233643,2485,7710925.00,94798,40.57,1.10,-0.85
2-June-2022,33.50,33.65,33.15,33.25,33.339581127191434286,254970,1312,8500593.00,124414,48.80,0.50,-0.25
1-June-2022,33.30,34.00,33.15,33.35,33.459157235815345778,586285,3152,19616602.00,221733,37.82,0.85,0.05
31-May-2022,32.90,32.90,32.30,32.40,32.631444855330430931,173879,1596,5673923.00,74603,42.91,0.60,-0.50
30-May-2022,32.20,32.50,31.95,32.30,32.189316234015900380,241881,1935,7785984.00,149195,61.68,0.55,0.10
27-May-2022,31.45,31.60,31.10,31.55,31.396859026096314231,118944,1811,3734468.00,54835,46.10,0.50,0.10
26-May-2022,30.90,31.35,30.45,31.10,30.871055457169550848,286852,2899,8855424.00,106759,37.22,0.90,0.20
25-May-2022,31.45,31.65,30.80,30.90,31.000608224249636387,189075,2479,5861440.00,85796,45.38,0.85,-0.55
24-May-2022,31.60,31.80,31.25,31.45,31.452773583923365264,153664,1929,4833159.00,69869,45.47,0.55,-0.15
23-May-2022,32.45,32.45,31.50,31.60,31.825530358449158741,112094,1208,3567451.00,40266,35.92,0.95,-0.85
20-May-2022,32.10,32.10,31.60,31.80,31.832488717444469656,79326,895,2525144.00,25379,31.99,0.50,-0.30
19-May-2022,31.70,31.95,30.80,31.30,31.495183410260374108,226405,3031,7130667.00,126422,55.84,1.15,-0.40
18-May-2022,32.80,32.80,32.05,32.25,32.332694568350537045,124198,1143,4015656.00,38367,30.89,0.75,-0.55
17-May-2022,31.80,32.25,31.45,32.10,31.788372250728994778,221195,2567,7031429.00,98032,44.32,0.80,0.30
16-May-2022,31.20,31.90,31.05,31.30,31.436020094988255062,233292,2263,7333772.00,95628,40.99,0.85,0.10
13-May-2022,31.00,31.45,30.75,31.05,31.065022644067027572,352631,3042,10954490.00,121897,34.57,0.70,0.05
12-May-2022,31.00,31.10,30.15,30.50,30.489768842831275577,462802,4800,14110726.00,181230,39.16,0.95,-0.50
11-May-2022,32.10,32.40,30.50,31.20,31.316665999101949780,474361,4676,14855405.00,191834,40.44,1.90,-0.90
10-May-2022,32.85,32.85,31.90,32.10,32.186622040896098502,163732,1292,5269980.00,50126,30.61,0.95,-0.75
9-May-2022,32.50,32.50,31.75,32.10,32.060780774492241648,439333,3498,14085359.00,168303,38.31,0.75,-0.40
6-May-2022,32.00,32.60,32.00,32.40,32.309802628539266377,476158,3354,15384571.00,204256,42.90,0.60,0.40
5-May-2022,33.10,33.40,32.80,32.85,33.097637410344903066,274106,2632,9072261.00,123906,45.20,0.60,-0.25
4-May-2022,33.90,33.90,32.80,33.05,33.172169023401968080,302325,1813,10028776.00,102222,33.81,1.10,-0.85
2-May-2022,33.40,33.80,33.15,33.50,33.383190204305395917,321039,3105,10717306.00,148133,46.14,0.65,0.10
29-April-2022,34.00,34.35,33.50,33.70,33.871469840835364658,270349,1362,9157118.00,96346,35.64,0.85,-0.30
28-April-2022,34.80,34.80,33.80,33.90,33.997733982525711062,400703,2914,13622994.00,141118,35.22,1.00,-0.90
27-April-2022,35.00,35.00,33.80,34.15,34.088136722246508045,384312,2064,13100480.00,124039,32.28,1.20,-0.85
26-April-2022,35.10,35.40,34.65,34.75,34.940190136611796869,485756,2774,16972407.00,249450,51.35,0.75,-0.35
25-April-2022,35.45,35.45,34.60,34.85,34.979562171661358583,536603,2291,18770138.00,141019,26.28,0.85,-0.60
22-April-2022,36.00,36.70,35.60,35.80,36.215174618068791601,682060,3226,24700922.00,184584,27.06,1.10,-0.20
21-April-2022,35.90,37.35,35.55,35.95,36.550595382164063467,1962521,6501,71731311.00,499772,25.47,1.80,0.05
20-April-2022,35.20,35.75,34.55,35.25,34.966856182649126111,403484,2097,14108567.00,107229,26.58,1.20,0.05
19-April-2022,35.45,36.40,34.30,34.65,35.769290118209097785,1323333,4794,47334682.00,324319,24.51,2.10,-0.80
18-April-2022,34.90,34.90,34.10,34.35,34.465321763808047946,428482,3690,14767770.00,211719,49.41,0.80,-0.55
13-April-2022,34.90,35.60,34.70,34.85,34.985386094606731269,741554,3754,25943553.00,439828,59.31,0.90,-0.05
12-April-2022,34.70,34.85,34.10,34.70,34.403940028914421506,683396,4232,23511515.00,263073,38.49,0.75,0.00
11-April-2022,34.90,35.30,34.60,34.75,34.864023087141378788,667731,4072,23279789.00,237180,35.52,0.70,-0.15
8-April-2022,34.65,35.70,34.30,34.60,34.757129009426704551,779912,3969,27107502.00,302873,38.83,1.40,-0.05
7-April-2022,34.40,34.75,34.05,34.10,34.305553915103315682,609588,3944,20912254.00,280943,46.09,0.70,-0.30
6-April-2022,34.60,35.10,34.20,34.30,34.541279138373078449,745752,4176,25759228.00,277482,37.21,0.90,-0.30
5-April-2022,34.05,35.00,33.85,34.60,34.445174329867404368,838640,4264,28887101.00,304773,36.34,1.15,0.55
