Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-November-2021,35.00,36.85,34.40,36.50,35.697691728257870125,670415,2784,23932268.00,167274,24.95,2.45,1.50
22-November-2021,36.05,36.40,34.60,34.85,35.265532695238766284,1078628,6450,38038391.00,536785,49.77,1.80,-1.20
18-November-2021,36.85,37.50,35.90,36.05,36.438058226224056862,992989,5327,36182591.00,416028,41.90,1.60,-0.80
17-November-2021,36.80,37.35,36.60,36.85,36.924183228901163632,711307,3458,26264430.00,244513,34.38,0.75,0.05
16-November-2021,37.60,38.15,36.60,36.80,37.349596591277298943,987584,4139,36885864.00,424314,42.96,1.55,-0.80
15-November-2021,37.95,38.15,37.15,37.25,37.552075525508506491,546994,1942,20540760.00,179049,32.73,1.00,-0.70
12-November-2021,38.50,38.75,37.50,37.60,38.074561016375870393,1416169,4797,53920013.00,809032,57.13,1.25,-0.90
11-November-2021,38.60,39.20,38.00,38.50,38.539479394270977427,1449427,5564,55860162.00,486913,33.59,1.20,-0.10
10-November-2021,39.30,39.35,38.10,38.50,38.861441394508461401,1209315,5129,46995724.00,553901,45.80,1.25,-0.80
9-November-2021,39.35,40.55,38.70,39.30,39.442424485248596720,2321169,8212,91552533.00,841764,36.26,1.85,-0.05
8-November-2021,36.85,39.90,36.40,39.35,38.688167610916801542,2084017,6599,80626799.00,668391,32.07,3.50,2.50
4-November-2021,35.95,36.60,35.70,36.30,36.151155378682161957,406317,3498,14688829.00,317113,78.05,0.90,0.35
3-November-2021,36.05,36.35,35.35,35.50,35.795702777411746590,675413,4243,24176883.00,350570,51.90,1.00,-0.55
2-November-2021,36.65,37.10,36.00,36.05,36.407717456783528709,512941,2011,18675011.00,195177,38.05,1.10,-0.60
1-November-2021,36.25,36.70,35.65,36.20,36.095143750682785654,540067,1963,19493796.00,186669,34.56,1.05,-0.05
29-October-2021,36.00,36.90,33.60,35.30,35.421802365083066454,2384356,9992,84458187.00,848392,35.58,3.30,-0.70
28-October-2021,37.25,38.15,36.25,36.70,37.046875813336109520,1229504,5051,45549282.00,346140,28.15,1.90,-0.55
27-October-2021,37.75,38.80,36.95,37.10,37.915042066397539207,1148898,4051,43560516.00,340726,29.66,1.85,-0.65
26-October-2021,37.00,39.20,35.75,37.70,37.433348105484000725,4057184,11930,151873981.00,1009013,24.87,3.45,0.70
25-October-2021,44.30,44.75,38.75,38.75,40.123081820489514497,2930904,8606,117596901.00,1530553,52.22,6.00,-5.55
22-October-2021,36.50,43.05,35.80,43.05,40.471422170996818847,11570648,33530,468280580.00,2210079,19.10,7.25,6.55
21-October-2021,33.00,36.55,32.70,35.90,35.051566985756353331,5416450,11491,189855060.00,1510928,27.90,3.85,2.90
20-October-2021,32.20,33.20,31.50,32.50,32.563686008716385142,1588732,3953,51734970.00,334755,21.07,1.70,0.30
19-October-2021,34.65,35.20,32.25,32.60,33.806361797605456908,2379076,7513,80427904.00,689996,29.00,2.95,-2.05
18-October-2021,30.85,34.50,30.85,34.05,32.888516085650882715,5419302,17719,178232801.00,3378674,62.35,3.65,3.20
14-October-2021,30.25,31.75,30.25,30.70,30.838707577058241963,1750851,6346,53993982.00,1024799,58.53,1.50,0.45
13-October-2021,30.30,30.60,30.15,30.25,30.309246379970129545,780035,2424,23642273.00,242222,31.05,0.45,-0.05
12-October-2021,30.25,30.60,30.05,30.15,30.249771795354767665,690170,2004,20877485.00,370806,53.73,0.55,-0.10
11-October-2021,31.05,31.15,30.20,30.30,30.711781860482963782,990302,4855,30413939.00,508203,51.32,0.95,-0.75
8-October-2021,31.15,31.35,30.80,30.95,31.051062738112712524,756207,3560,23481031.00,368079,48.67,0.55,-0.20
7-October-2021,31.90,31.90,30.70,30.95,31.328431724427562342,1490599,4721,46698129.00,645916,43.33,1.20,-0.95
6-October-2021,31.05,31.75,30.75,30.95,31.211951789508826860,1773224,5327,55345782.00,900461,50.78,1.00,-0.10
5-October-2021,31.20,31.65,30.85,30.90,31.048590068406384595,1578800,4975,49019514.00,866790,54.90,0.80,-0.30
4-October-2021,30.15,30.45,30.15,30.20,30.265150660685933419,345777,1443,10464993.00,161022,46.57,0.30,0.05
1-October-2021,30.20,31.15,29.90,30.00,30.421213904953410500,1396452,4520,42481765.00,501911,35.94,1.25,-0.20
30-September-2021,30.55,30.60,30.15,30.20,30.325789504070203798,484988,2863,14707644.00,256486,52.88,0.45,-0.35
29-September-2021,30.50,30.65,30.05,30.45,30.389288086802480070,903200,3682,27447605.00,518007,57.35,0.60,-0.05
28-September-2021,29.85,30.65,29.75,30.25,30.234869814473030111,903211,3582,27308467.00,426480,47.22,0.90,0.40
27-September-2021,30.30,30.30,29.80,29.85,29.954705866417768933,406057,3047,12163318.00,212988,52.45,0.50,-0.45
24-September-2021,30.35,30.35,30.00,30.05,30.154011345120702303,413041,2613,12454843.00,260634,63.10,0.35,-0.30
23-September-2021,30.35,30.60,30.20,30.25,30.331802730886673964,347140,1323,10529382.00,187189,53.92,0.40,-0.10
22-September-2021,30.30,30.70,30.20,30.35,30.424233630500460035,444531,1570,13524515.00,140962,31.71,0.50,0.05
21-September-2021,30.70,30.85,30.00,30.15,30.277266137356933890,1039467,3789,31472219.00,515016,49.55,0.85,-0.55
20-September-2021,31.35,32.75,30.40,30.70,31.538855953606303381,3407187,11052,107458780.00,1557182,45.70,2.35,-0.65
17-September-2021,30.25,30.40,29.55,30.10,29.975874429839282078,726988,3757,21792101.00,371333,51.08,0.85,-0.15
16-September-2021,30.00,30.60,30.00,30.25,30.256163583421965721,688236,2971,20823381.00,417033,60.59,0.60,0.25
15-September-2021,30.25,30.50,30.00,30.05,30.261028915467480223,888936,3994,26900118.00,483251,54.36,0.50,-0.20
14-September-2021,30.20,30.65,30.10,30.30,30.344464760558942458,628401,3282,19068492.00,338698,53.90,0.55,0.10
13-September-2021,30.55,30.85,30.10,30.20,30.410248423824714251,677431,3585,20600845.00,389766,57.54,0.75,-0.35
9-September-2021,31.00,31.30,30.30,30.55,30.903323168762628825,867064,3967,26795159.00,417118,48.11,1.00,-0.45
8-September-2021,31.65,31.80,30.80,31.00,31.232163185292948626,1036564,3259,32374136.00,297433,28.69,1.00,-0.65
7-September-2021,29.40,32.35,29.30,31.40,30.816781441308928078,2333268,7702,71903810.00,1192753,51.12,3.05,2.00
6-September-2021,30.20,30.65,29.25,29.35,29.999059420969834129,905825,4539,27173898.00,435125,48.04,1.40,-0.85
3-September-2021,28.20,30.50,28.20,30.00,29.686883534282840882,2031439,6449,60307093.00,946261,46.58,2.30,1.80
2-September-2021,28.00,28.45,28.00,28.20,28.248141795311606632,211629,1067,5978126.00,75061,35.47,0.45,0.20
1-September-2021,28.25,28.45,28.15,28.25,28.285434358463287621,356215,2019,10075696.00,216856,60.88,0.30,0.00
31-August-2021,28.15,28.55,28.00,28.20,28.124631898461500801,408515,2732,11489334.00,189856,46.47,0.55,0.05
30-August-2021,28.20,28.30,28.10,28.15,28.199629906937108912,444753,2497,12541870.00,285146,64.11,0.20,-0.05
27-August-2021,27.95,28.20,27.80,28.05,27.964346831302177386,317307,1955,8873283.00,156145,49.21,0.40,0.10
26-August-2021,27.85,28.15,27.70,27.85,27.942998231836500629,313885,1940,8770888.00,133336,42.48,0.45,0.00
25-August-2021,28.00,28.20,27.65,27.75,27.871538178349704646,478072,2685,13324602.00,212993,44.55,0.55,-0.25
24-August-2021,27.75,28.20,27.50,27.75,27.791607550196776376,398930,2749,11086906.00,212249,53.20,0.70,0.00
23-August-2021,28.20,28.45,27.55,27.65,27.845510823508199020,598974,4256,16678737.00,309124,51.61,0.90,-0.55
20-August-2021,28.40,28.60,28.10,28.15,28.305810317251915685,418910,4038,11857587.00,225441,53.82,0.50,-0.25
18-August-2021,28.80,29.00,28.65,28.75,28.752325337086333454,299849,2788,8621356.00,134800,44.96,0.35,-0.05
17-August-2021,29.15,29.20,28.80,28.85,28.948007202558520787,186045,1122,5385632.00,84595,45.47,0.40,-0.30
16-August-2021,29.65,29.70,29.05,29.15,29.276045110667964865,384122,3036,11245573.00,227127,59.13,0.65,-0.50
13-August-2021,30.35,30.45,29.55,29.65,29.808355884334046299,676984,3118,20179780.00,290061,42.85,0.90,-0.70
12-August-2021,29.15,29.85,29.15,29.60,29.459582202404032570,412640,2357,12156202.00,231240,56.04,0.70,0.45
11-August-2021,29.30,29.70,28.70,29.05,28.917789915926851185,637659,4587,18439689.00,310325,48.67,1.00,-0.25
10-August-2021,30.40,30.40,29.15,29.25,29.687083543244964497,420812,3412,12492681.00,260424,61.89,1.25,-1.15
9-August-2021,30.20,30.55,29.85,30.10,30.119785463621919421,753998,3605,22710258.00,324780,43.07,0.70,-0.10
6-August-2021,29.25,30.00,29.25,29.65,29.654821636174508964,392232,2571,11631570.00,208363,53.12,0.75,0.40
5-August-2021,30.00,30.00,29.15,29.25,29.303613464843055607,371278,3518,10879787.00,191191,51.50,0.85,-0.75
4-August-2021,30.00,30.10,29.60,29.65,29.797707334268934279,300698,1344,8960111.00,150668,50.11,0.50,-0.35
3-August-2021,30.20,30.20,29.80,29.90,29.907773147864452478,326380,1245,9761299.00,168591,51.65,0.40,-0.30
2-August-2021,30.00,30.35,29.70,29.95,29.944849552259289333,874390,3574,26183477.00,274243,31.36,0.65,-0.05
30-July-2021,29.80,29.90,29.55,29.65,29.727753935846568497,432245,1738,12849673.00,201724,46.67,0.35,-0.15
29-July-2021,29.90,30.15,29.75,29.80,29.834781639707008980,502541,3409,14993201.00,274242,54.57,0.40,-0.10
28-July-2021,30.30,30.30,29.80,29.90,30.001229906532315012,383769,1718,11513542.00,136232,35.50,0.50,-0.40
27-July-2021,30.45,30.50,29.85,30.05,30.200970671342003132,469984,1663,14193973.00,169143,35.99,0.65,-0.40
26-July-2021,30.30,30.90,30.10,30.15,30.383511852093326503,429460,1864,13048503.00,150714,35.09,0.80,-0.15
23-July-2021,30.70,30.95,29.95,30.25,30.401351680910606087,742187,1923,22563488.00,357171,48.12,1.00,-0.45
22-July-2021,30.60,31.20,30.55,30.65,30.862072633026512939,535927,1568,16539818.00,285993,53.36,0.65,0.05
20-July-2021,30.95,31.25,30.30,30.40,30.640275688729208949,913494,5840,27989708.00,441353,48.31,0.95,-0.55
19-July-2021,31.00,31.65,31.00,31.15,31.241794739556472408,484750,1903,15144460.00,206254,42.55,0.65,0.15
16-July-2021,31.75,31.95,31.45,31.50,31.648956004532245151,360969,1605,11424292.00,166392,46.10,0.50,-0.25
15-July-2021,31.90,32.05,31.65,31.75,31.827414852335989666,749404,1726,23851592.00,393472,52.50,0.40,-0.15
14-July-2021,32.25,32.25,31.80,31.85,31.903808275768387156,500594,1497,15970855.00,314152,62.76,0.45,-0.40
13-July-2021,32.50,32.50,32.00,32.05,32.206239901342586966,222183,1265,7155679.00,119731,53.89,0.50,-0.45
12-July-2021,32.40,32.40,32.05,32.15,32.203093578144841318,404774,1632,13034975.00,219206,54.16,0.35,-0.25
9-July-2021,32.30,32.40,32.00,32.10,32.165189739920275325,374539,1552,12047118.00,161435,43.10,0.40,-0.20
8-July-2021,32.10,33.45,31.85,32.25,32.581792606188914773,1548349,5001,50447986.00,634664,40.99,1.60,0.15
7-July-2021,31.95,32.45,31.50,32.05,31.902407444074585878,964633,4346,30774115.00,543446,56.34,0.95,0.10
6-July-2021,32.25,32.40,31.85,31.95,32.131205810487953605,700251,4461,22499909.00,403850,57.67,0.55,-0.30
5-July-2021,32.35,32.50,32.10,32.25,32.226834560621611754,725855,4479,23392009.00,437665,60.30,0.40,-0.10
2-July-2021,32.55,32.90,32.10,32.20,32.331774782295149985,1012265,5334,32728324.00,581793,57.47,0.80,-0.35
1-July-2021,34.00,34.00,32.50,32.60,32.922591758929906060,689061,3142,22685674.00,266237,38.64,1.50,-1.40
30-June-2021,33.65,34.50,33.45,33.65,34.024326708872131489,5153677,12447,175350390.00,2434411,47.24,1.05,0.00
29-June-2021,32.95,33.45,32.55,32.90,32.991524952335649098,1042708,3029,34400527.00,381592,36.60,0.90,-0.05
28-June-2021,32.80,33.15,32.45,32.55,32.742250354147460256,444730,1921,14561461.00,198532,44.64,0.70,-0.25
25-June-2021,32.60,33.25,32.40,32.70,32.757779193479885381,744036,2522,24372967.00,425741,57.22,0.85,0.10
24-June-2021,32.35,32.90,32.10,32.30,32.454922043437455211,648887,2004,21059577.00,243933,37.59,0.80,-0.05
23-June-2021,32.20,32.70,31.85,32.05,32.240736515427237937,539079,2122,17380304.00,195495,36.26,0.85,-0.15
22-June-2021,32.50,32.80,32.05,32.15,32.456045289452378573,980714,4460,31830098.00,556045,56.70,0.75,-0.35
21-June-2021,30.65,32.40,30.60,32.20,31.708388403491740450,1025964,5085,32531665.00,449593,43.82,1.80,1.55
18-June-2021,31.90,32.10,30.45,31.30,31.187988490080978319,1702184,7369,53087695.00,718183,42.19,1.65,-0.60
17-June-2021,32.00,32.80,31.65,31.85,32.194732050830150001,1046859,5492,33703345.00,453257,43.30,1.15,-0.15
16-June-2021,32.95,33.20,32.15,32.40,32.560842700883846542,1439277,5623,46864072.00,563149,39.13,1.05,-0.55
15-June-2021,33.80,34.00,32.50,32.70,33.338570670733854530,2640973,9405,88046265.00,1434052,54.30,1.50,-1.10
14-June-2021,31.80,33.70,30.70,33.40,32.785267613609411318,5396736,16745,176933434.00,3067228,56.83,3.00,1.60
11-June-2021,31.70,32.30,31.50,31.80,31.902915804432920292,1604360,5329,51183762.00,1023906,63.82,0.80,0.10
10-June-2021,31.60,31.70,31.25,31.45,31.496305440023328860,809298,3469,25489897.00,450378,55.65,0.45,-0.15
9-June-2021,31.60,32.45,30.60,31.10,31.600768378011784969,1218671,3834,38510940.00,495972,40.70,1.85,-0.50
8-June-2021,31.90,31.90,30.95,31.40,31.441695041594447801,1381795,5560,43445977.00,756848,54.77,0.95,-0.50
7-June-2021,30.95,32.10,30.95,31.55,31.625515166075482675,2368411,8564,74902218.00,1333732,56.31,1.15,0.60
4-June-2021,29.95,31.85,29.50,30.65,30.734052691787592947,2419656,7607,74365835.00,1539034,63.61,2.35,0.70
3-June-2021,30.00,30.10,29.60,29.80,29.869921673969758358,672318,3060,20082086.00,412001,61.28,0.50,-0.20
2-June-2021,29.55,30.00,29.35,29.70,29.732930166705515699,694998,3119,20664327.00,418678,60.24,0.65,0.15
1-June-2021,29.75,29.85,29.20,29.35,29.459206943236161658,194261,1486,5722775.00,95658,49.24,0.65,-0.40
31-May-2021,29.25,29.60,29.10,29.50,29.412835165807439334,632933,3336,18616354.00,376187,59.44,0.50,0.25
28-May-2021,29.70,29.75,28.70,28.95,29.181401480044372517,416474,1996,12153295.00,239596,57.53,1.05,-0.75
27-May-2021,30.00,30.15,29.55,29.60,29.767572741764872394,268484,1385,7992117.00,143919,53.60,0.60,-0.40
26-May-2021,30.20,30.35,29.90,29.95,30.087184383969092814,364446,1483,10965154.00,191559,52.56,0.45,-0.25
25-May-2021,30.40,30.55,29.85,29.95,30.206783292688084128,709390,3301,21428390.00,357931,50.46,0.70,-0.45
24-May-2021,30.30,30.85,29.95,30.15,30.372873488232046971,717372,2742,21788649.00,323175,45.05,0.90,-0.15
21-May-2021,30.30,30.35,29.85,29.95,30.099631698450132921,546563,1812,16451345.00,245664,44.95,0.50,-0.35
20-May-2021,29.65,30.35,29.40,29.80,29.915405605239067671,568040,1636,16993147.00,212566,37.42,0.95,0.15
19-May-2021,29.30,30.10,29.25,29.60,29.644042101955855785,381930,1412,11321949.00,147439,38.60,0.85,0.30
18-May-2021,29.35,29.70,29.15,29.30,29.416729201574851715,291837,1356,8584890.00,148867,51.01,0.55,-0.05
17-May-2021,29.35,29.80,29.20,29.30,29.347607074221759412,236238,1261,6933020.00,110374,46.72,0.60,-0.05
14-May-2021,30.00,30.15,29.10,29.20,29.630235096370493100,1167266,4440,34586366.00,549505,47.08,1.05,-0.80
12-May-2021,29.35,30.40,29.30,29.60,29.844761291678441318,980213,2902,29254223.00,382595,39.03,1.10,0.25
11-May-2021,28.60,29.45,28.60,29.30,29.185065798265542246,1421770,3935,41494451.00,605234,42.57,0.85,0.70
10-May-2021,28.15,29.25,28.15,28.95,28.795576860237708555,1640328,5013,47234191.00,855014,52.12,1.10,0.80
7-May-2021,28.45,28.70,28.10,28.15,28.385251226256478663,575736,2846,16342411.00,304378,52.87,0.60,-0.30
6-May-2021,28.30,29.10,28.15,28.45,28.574869648046537783,784223,3414,22409070.00,397929,50.74,0.95,0.15
5-May-2021,28.45,28.60,28.10,28.30,28.308928017665881743,586894,2584,16614340.00,328465,55.97,0.50,-0.15
4-May-2021,27.70,29.15,27.65,28.05,28.320523872144351449,1364226,5127,38635595.00,802790,58.85,1.50,0.35
3-May-2021,26.90,27.80,26.90,27.60,27.421441486068111455,403750,1488,11071407.00,159648,39.54,0.90,0.70
30-April-2021,27.15,27.65,27.05,27.15,27.376237055355605113,679335,2884,18597636.00,359602,52.93,0.60,0.00
29-April-2021,27.75,27.90,27.20,27.35,27.471360701668899987,451495,1237,12403182.00,126808,28.09,0.70,-0.40
28-April-2021,27.50,27.95,27.50,27.70,27.705124156443297199,291326,1090,8071223.00,110015,37.76,0.45,0.20
27-April-2021,26.90,27.70,26.70,27.40,27.282568096458777263,531709,1428,14506387.00,233357,43.89,1.00,0.50
26-April-2021,26.90,26.95,26.55,26.65,26.697087257025804264,271428,1244,7246337.00,108397,39.94,0.40,-0.25
23-April-2021,26.50,26.90,26.35,26.50,26.596156351678360673,575651,1510,15310104.00,185568,32.24,0.55,0.00
22-April-2021,26.75,26.90,26.45,26.50,26.585047400302420267,331327,1458,8808344.00,171241,51.68,0.45,-0.25
20-April-2021,26.75,27.40,26.60,26.75,26.933364107524045389,409434,1222,11027435.00,168826,41.23,0.80,0.00
19-April-2021,26.90,26.90,26.35,26.75,26.671222003989683708,520342,1804,13878157.00,224359,43.12,0.55,-0.15
16-April-2021,27.40,28.10,27.20,27.70,27.597087769515087130,384997,1211,10624796.00,150832,39.18,0.90,0.30
15-April-2021,27.10,27.70,26.90,27.25,27.235438405232829777,770520,3753,20985450.00,374130,48.56,0.80,0.15
13-April-2021,27.05,27.70,26.90,27.50,27.441766122806946639,989716,1694,27159555.00,185501,18.74,0.80,0.45
12-April-2021,28.25,28.35,26.95,27.05,27.499206802848766045,2461557,10906,67690865.00,1281036,52.04,1.40,-1.20
9-April-2021,29.55,29.65,29.00,29.10,29.352064251168571505,1332396,3725,39108573.00,475538,35.69,0.65,-0.45
8-April-2021,29.45,29.80,29.35,29.45,29.566613028361253986,348010,1375,10289477.00,154210,44.31,0.45,0.00
7-April-2021,30.05,30.60,29.85,30.30,30.130479071104500743,1920216,3838,57857028.00,945088,49.22,0.75,0.25
6-April-2021,29.65,30.15,29.35,30.00,29.802276510780600709,1640493,4247,48890426.00,654133,39.87,0.80,0.35
5-April-2021,29.65,30.00,28.80,29.50,29.236315770428630840,2017377,2751,58980671.00,476354,23.61,1.20,-0.15
1-April-2021,29.25,30.15,29.20,29.65,29.568686949816873353,1245040,2630,36814198.00,242382,19.47,0.95,0.40
31-March-2021,29.75,29.80,29.00,29.10,29.255255598166298224,779407,2057,22801751.00,294435,37.78,0.80,-0.65
30-March-2021,30.00,30.40,29.50,29.60,29.825396886265917952,2346957,3042,69998924.00,496591,21.16,0.90,-0.40
26-March-2021,28.50,29.40,28.05,29.20,28.808584648552318788,3429657,8427,98803564.00,1319728,38.48,1.35,0.70
25-March-2021,27.75,27.95,27.20,27.75,27.621449388791579448,2335619,7560,64513182.00,874850,37.46,0.75,0.00
24-March-2021,28.35,28.40,27.60,27.70,27.934024261723994302,2667329,6195,74509233.00,1147741,43.03,0.80,-0.65
23-March-2021,30.60,31.00,30.05,30.40,30.431566240125522029,14727614,4982,448184361.00,510209,3.46,0.95,-0.20
22-March-2021,29.05,31.30,29.00,30.30,30.397329710473639905,8707670,6853,264689916.00,515310,5.92,2.30,1.25
19-March-2021,26.75,29.50,26.75,29.20,28.962432870620243569,13228932,9134,383142055.00,835056,6.31,2.75,2.45
18-March-2021,30.75,31.00,29.05,29.65,29.987601540147489243,1247413,5843,37406924.00,545543,43.73,1.95,-1.10
17-March-2021,30.65,32.40,30.25,30.65,31.218806688121693328,1532508,5669,47843071.00,665570,43.43,2.15,0.00
16-March-2021,30.60,31.05,30.55,30.65,30.746003035716283597,536282,2578,16488528.00,254505,47.46,0.50,0.05
15-March-2021,31.50,31.50,30.50,30.75,30.714644318693583442,766065,3865,23529414.00,349509,45.62,1.00,-0.75
12-March-2021,32.10,32.20,31.00,31.30,31.730078061623327777,1084784,4072,34420281.00,514384,47.42,1.20,-0.80
10-March-2021,31.20,32.10,31.15,31.70,31.597407930091451989,501684,1462,15851914.00,208438,41.55,0.95,0.50
9-March-2021,32.00,32.15,30.60,31.00,31.344615184331575039,829592,3585,26003242.00,397044,47.86,1.55,-1.00
8-March-2021,31.75,32.30,31.25,31.80,31.773325992432046168,957194,3215,30413237.00,480534,50.20,1.05,0.05
5-March-2021,30.55,32.65,30.55,31.55,31.907157451155663389,939720,3426,29983794.00,473143,50.35,2.10,1.00
4-March-2021,31.95,33.45,31.65,32.30,32.511496273379271551,910208,2126,29592224.00,299984,32.96,1.80,0.35
3-March-2021,32.80,32.85,31.75,32.00,32.087484184953381499,1010114,4308,32412017.00,555733,55.02,1.10,-0.80
2-March-2021,32.50,33.40,32.20,32.60,32.777925079510012006,1822412,5366,59734884.00,1090043,59.81,1.20,0.10
1-March-2021,32.25,33.45,31.75,32.45,32.644103221549659554,2394655,7178,78171365.00,1321655,55.19,1.70,0.20
26-February-2021,31.90,32.75,31.20,31.80,31.809978839379369304,989574,3283,31478328.00,283312,28.63,1.55,-0.10
25-February-2021,30.50,33.15,30.25,32.70,32.027463185868949213,3816673,9675,122238354.00,2547874,66.76,2.90,2.20
24-February-2021,29.90,30.35,29.60,30.20,29.978531208817539235,626025,2034,18767310.00,347101,55.45,0.75,0.30
23-February-2021,29.75,30.20,29.55,29.70,29.793496484950915171,889888,3491,26512875.00,493348,55.44,0.65,-0.05
22-February-2021,30.55,30.90,29.70,29.85,30.093316423440394581,511732,2115,15399713.00,215792,42.17,1.20,-0.70
19-February-2021,30.60,31.65,30.30,30.60,30.982803776545248640,655202,1790,20299995.00,207262,31.63,1.35,0.00
18-February-2021,30.50,30.90,30.50,30.65,30.701563968346437273,470342,1087,14440235.00,175432,37.30,0.40,0.15
17-February-2021,30.60,31.30,30.40,30.70,30.797405407808973983,809607,3223,24933795.00,414836,51.24,0.90,0.10
16-February-2021,31.45,31.45,30.50,30.80,30.771306481420651084,350093,1204,10772819.00,131047,37.43,0.95,-0.65
15-February-2021,32.55,32.75,30.80,31.05,31.566897932109001997,518596,1625,16370467.00,240374,46.35,1.95,-1.50
12-February-2021,32.80,32.90,31.60,32.50,32.199888749049641978,931228,2613,29985438.00,390351,41.92,1.30,-0.30
11-February-2021,31.45,32.50,30.15,31.85,31.511159202582169771,1110384,3971,34989487.00,339660,30.59,2.35,0.40
10-February-2021,31.05,31.35,30.30,30.60,30.712334038868578025,306623,1038,9417108.00,108329,35.33,1.05,-0.45
9-February-2021,31.95,31.95,30.80,31.00,31.191285381659045641,285176,1042,8895006.00,109109,38.26,1.15,-0.95
8-February-2021,31.40,32.10,30.65,31.65,31.547684093622126274,673516,1724,21247870.00,291407,43.27,1.45,0.25
5-February-2021,31.50,31.80,30.65,30.85,31.156692794694000602,504184,1539,15708706.00,267955,53.15,1.15,-0.65
4-February-2021,29.55,31.45,29.55,31.10,30.668824216206909538,743436,1911,22800308.00,312594,42.05,1.90,1.55
3-February-2021,30.00,30.20,29.25,29.50,29.529894814454874716,1066021,4529,31479488.00,618349,58.01,0.95,-0.50
2-February-2021,30.30,30.65,29.30,29.65,29.910600943011288933,1411648,6103,42223240.00,755935,53.55,1.35,-0.65
1-February-2021,32.00,32.00,29.60,30.30,30.726594173285905821,2317361,8669,71204611.00,1044737,45.08,2.40,-1.70
29-January-2021,31.00,32.00,30.85,31.35,31.388332315779151853,1397141,3152,43853926.00,369660,26.46,1.15,0.35
28-January-2021,26.85,30.15,26.55,30.15,29.259644974866900469,1647827,3205,48214833.00,480997,29.19,3.60,3.30
27-January-2021,28.60,28.75,27.10,27.45,27.904468569779367427,776132,2186,21657551.00,215502,27.77,1.65,-1.15
25-January-2021,29.45,30.20,28.50,28.75,29.088100039670800108,1328433,5561,38641592.00,433911,32.66,1.70,-0.70
22-January-2021,30.00,30.00,28.80,29.00,29.261708245797529610,1662653,8067,48652067.00,790040,47.52,1.20,-1.00
21-January-2021,31.15,31.30,29.80,30.05,30.610617742630530741,1373776,6241,42052132.00,643046,46.81,1.50,-1.10
20-January-2021,31.20,31.95,30.60,30.90,31.193662561232211359,1445726,5394,45097489.00,505078,34.94,1.35,-0.30
19-January-2021,31.30,31.75,31.05,31.20,31.415341382472992557,1142648,4199,35896677.00,475975,41.66,0.70,-0.10
18-January-2021,32.10,32.10,31.05,31.30,31.481305073589667195,1748683,6445,55050823.00,774097,44.27,1.05,-0.80
15-January-2021,31.00,32.00,30.30,31.55,31.132773962140563057,3361751,11662,104660634.00,1173642,34.91,1.70,0.55
14-January-2021,33.15,33.50,31.00,31.25,31.926472005267581355,1494424,3987,47711686.00,597557,39.99,2.50,-1.90
13-January-2021,33.15,34.15,32.50,33.00,33.270881239418177525,2981528,8672,99198064.00,1449120,48.60,1.65,-0.15
12-January-2021,34.60,34.60,32.30,32.85,33.303547414996125763,2049436,5674,68253489.00,751825,36.68,2.30,-1.75
11-January-2021,34.85,35.60,34.00,34.85,34.796426309568562903,7972263,20057,277406262.00,2680297,33.62,1.60,0.00
8-January-2021,31.00,33.95,30.80,33.35,32.686887902709805373,8860009,16991,289606121.00,2135610,24.10,3.15,2.35
7-January-2021,29.00,29.65,28.40,29.00,28.992924126819860952,3554049,7357,103042273.00,1528482,43.01,1.25,0.00
6-January-2021,27.70,29.85,26.75,28.10,28.580772254361823443,8356081,17905,238823248.00,2784675,33.33,3.10,0.40
5-January-2021,24.00,28.35,24.00,27.45,26.639040189029758735,10541409,18276,280813018.00,4823091,45.75,4.35,3.45
4-January-2021,24.05,24.20,23.60,24.05,23.986039743660933066,1404702,2646,33693238.00,700110,49.84,0.60,0.00
1-January-2021,24.35,24.35,23.80,23.90,23.977856746098147566,1009969,2283,24216892.00,455516,45.10,0.55,-0.45
31-December-2020,23.10,24.30,23.05,24.00,24.026013435188758098,3791387,6357,91091915.00,2083487,54.95,1.25,0.90
30-December-2020,23.00,23.00,22.55,22.85,22.795374676778369748,460984,1433,10508303.00,235519,51.09,0.45,-0.15
29-December-2020,23.25,23.50,22.65,22.90,23.002081434674883633,858062,2120,19737212.00,460271,53.64,0.85,-0.35
28-December-2020,23.20,23.70,22.90,23.20,23.253494777819159070,1044487,2411,24287973.00,549237,52.58,0.80,0.00
24-December-2020,23.45,23.45,22.75,22.85,23.021249150405303085,619413,1834,14259661.00,356596,57.57,0.70,-0.60
23-December-2020,22.70,23.00,22.10,22.80,22.712283728085785467,696808,2173,15826101.00,373884,53.66,0.90,0.10
22-December-2020,21.65,22.65,20.65,22.20,21.559193051690490575,647179,1429,13952657.00,305280,47.17,2.00,0.55
21-December-2020,23.30,24.05,19.00,21.55,22.790065825919770586,2086716,5510,47556395.00,996826,47.77,5.05,-1.75
18-December-2020,24.10,24.40,23.25,23.70,23.758080706685404537,996200,2670,23667800.00,470852,47.26,1.15,-0.40
17-December-2020,24.00,24.50,23.70,23.90,24.085551665830250382,1639933,3574,39498691.00,1062282,64.78,0.80,-0.10
16-December-2020,23.40,24.35,23.10,23.85,23.731827619132211218,1080816,1721,25649739.00,486769,45.04,1.25,0.45
