timestamp,open,high,low,close,volume
2026-01-26 04:00:00,466.8000,467.7000,465.5600,467.3800,4779
2026-01-26 04:01:00,467.4000,467.6700,467.1300,467.1300,424
2026-01-26 04:02:00,467.2500,467.2500,467.2500,467.2500,100
2026-01-26 04:03:00,467.2500,467.2500,467.1000,467.1000,359
2026-01-26 04:04:00,467.2000,467.5400,467.0700,467.4900,978
2026-01-26 04:05:00,467.3300,467.7200,467.3300,467.6100,1082
2026-01-26 04:06:00,467.6100,467.7200,467.6100,467.7200,1075
2026-01-26 04:07:00,467.6600,467.9400,467.6100,467.9400,412
2026-01-26 04:08:00,468.0000,468.0000,468.0000,468.0000,157
2026-01-26 04:09:00,468.1000,468.1600,468.1000,468.1000,800
2026-01-26 04:10:00,468.1000,468.2000,468.1000,468.2000,783
2026-01-26 04:11:00,468.2100,468.2300,468.1500,468.2100,327
2026-01-26 04:12:00,468.1000,468.1100,467.7300,468.0900,821
2026-01-26 04:13:00,467.7800,467.7800,467.1000,467.4700,1620
2026-01-26 04:14:00,467.1000,467.1000,467.0400,467.0800,813
2026-01-26 04:15:00,467.1400,467.1400,467.1400,467.1400,43
2026-01-26 04:16:00,467.1500,467.1500,467.1500,467.1500,72
2026-01-26 04:17:00,467.4000,467.8200,467.4000,467.7900,606
2026-01-26 04:18:00,467.6800,467.7200,467.6800,467.7000,665
2026-01-26 04:19:00,467.7000,468.0000,467.7000,468.0000,1908
2026-01-26 04:21:00,468.2200,468.2200,468.2200,468.2200,100
2026-01-26 04:22:00,468.2600,468.2600,468.0000,468.0000,507
2026-01-26 04:23:00,468.0000,468.0100,468.0000,468.0100,1292
2026-01-26 04:25:00,468.1800,468.1800,468.1800,468.1800,90
2026-01-26 04:26:00,468.1800,468.1800,468.0000,468.0000,334
2026-01-26 04:27:00,468.0100,468.0600,468.0000,468.0600,933
2026-01-26 04:29:00,468.1000,468.1000,468.1000,468.1000,72
2026-01-26 04:30:00,468.0000,468.0000,468.0000,468.0000,986
2026-01-26 04:31:00,467.7900,467.7900,467.0000,467.1400,2451
2026-01-26 04:32:00,467.3900,467.3900,467.0200,467.0200,187
2026-01-26 04:33:00,467.3300,467.3500,467.3300,467.3500,144
2026-01-26 04:34:00,467.0500,467.0500,467.0000,467.0000,402
2026-01-26 04:35:00,466.8800,466.8800,466.5500,466.5500,356
2026-01-26 04:36:00,466.5000,466.5500,466.4600,466.4600,1215
2026-01-26 04:37:00,466.4600,466.8500,466.4200,466.8500,521
2026-01-26 04:38:00,466.9200,467.2000,466.9200,467.2000,2818
2026-01-26 04:39:00,467.0000,467.0000,467.0000,467.0000,1580
2026-01-26 04:42:00,467.2000,467.2000,467.2000,467.2000,80
2026-01-26 04:43:00,467.2800,467.2800,467.1100,467.2800,171
2026-01-26 04:44:00,467.2000,467.2000,466.7100,466.7100,1713
2026-01-26 04:45:00,466.4200,466.5400,466.3100,466.5400,334
2026-01-26 04:46:00,466.4100,466.4100,466.4100,466.4100,79
2026-01-26 04:47:00,466.7000,466.7000,466.2000,466.2000,753
2026-01-26 04:49:00,466.1200,466.1200,466.1000,466.1000,1422
2026-01-26 04:50:00,466.1000,466.1000,466.0000,466.1000,1098
2026-01-26 04:51:00,466.0100,466.0100,466.0000,466.0000,1446
2026-01-26 04:53:00,466.0000,466.0000,466.0000,466.0000,881
2026-01-26 04:54:00,466.2100,466.2100,466.2100,466.2100,54
2026-01-26 04:55:00,466.3000,466.5000,466.3000,466.5000,653
2026-01-26 04:56:00,466.5900,466.5900,466.5900,466.5900,80
2026-01-26 04:59:00,466.4000,466.4000,466.4000,466.4000,40
2026-01-26 05:01:00,466.2800,466.2800,466.2800,466.2800,80
2026-01-26 05:03:00,466.2300,466.4800,466.2300,466.4800,250
2026-01-26 05:04:00,466.4400,466.4400,466.4400,466.4400,40
2026-01-26 05:05:00,466.5000,466.5000,466.5000,466.5000,495
2026-01-26 05:06:00,466.5700,466.5900,466.5700,466.5900,430
2026-01-26 05:11:00,466.2800,466.2900,466.2800,466.2900,140
2026-01-26 05:13:00,466.3200,466.3200,466.2800,466.2800,263
2026-01-26 05:15:00,466.3600,466.3600,466.3600,466.3600,40
2026-01-26 05:16:00,466.3400,466.5900,466.3400,466.5900,302
2026-01-26 05:17:00,466.6200,466.6700,466.6200,466.6400,246
2026-01-26 05:18:00,466.7000,466.7000,466.7000,466.7000,92
2026-01-26 05:20:00,466.6000,466.6000,466.5000,466.5000,125
2026-01-26 05:23:00,466.5000,466.7000,466.1800,466.7000,664
2026-01-26 05:25:00,466.5800,466.5800,466.5600,466.5600,144
2026-01-26 05:26:00,466.5000,466.5100,466.5000,466.5100,340
2026-01-26 05:27:00,466.5900,466.7000,466.5900,466.7000,920
2026-01-26 05:28:00,466.7600,466.7600,466.7600,466.7600,124
2026-01-26 05:31:00,466.7000,466.7100,466.7000,466.7100,660
2026-01-26 05:33:00,466.8400,466.8400,466.8400,466.8400,63
2026-01-26 05:34:00,466.8500,466.8500,466.6100,466.6100,429
